序号,园区企业名称,企业状态,所属园区,注册资本,法定代表人,成立日期,联系电话,国标行业一级,国标行业二级,国标行业三级,国标行业四级,所属省,所属市,所属区县
81,上海博喜祥和新能源技术有限公司,在营,上海市星火开发区,100.00万元,蒋秋玲,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,奉贤区
82,上海叶闲信息科技有限公司,在营,上海北郊未来产业园,100.00万元,顾叶,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,科技中介服务,科技中介服务,上海市,,宝山区
83,上海勒翰实业有限公司,在营,金山第二工业区经济小区,100.00万元,肖颖,2024-08-29,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,金山区
84,上海金之缘汽车服务有限公司,在营,复旦软件园,100.00万元,鲁敏,2024-08-29,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,专业设计服务,上海市,,宝山区
85,上海沐笛餐饮管理有限公司,在营,杨浦都市工业经济园区,100.00万元,陈燕,2024-08-29,,制造业,专用设备制造业,环保、邮政、社会公共服务及其他专用设备制造,商业、饮食、服务专用设备制造,上海市,,杨浦区
86,上海缤宝利防腐工程有限公司,在营,上海奉贤经济开发区生物科技园区,100.00万元,张奕嵘,2024-08-29,,批发和零售业,批发业,矿产品、建材及化工产品批发,其他化工产品批发,上海市,,奉贤区
87,上海茗禾浒网络科技有限公司,在营,上海西郊商务区A区,100.00万元,李玉耿,2024-08-29,,信息传输、软件和信息技术服务业,互联网和相关服务,其他互联网服务,其他互联网服务,上海市,,嘉定区
88,上海青云致上科技有限公司,在营,临港新片区环湖产业园,100.00万元,陈丽晶,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,浦东新区
89,翼和帆(上海)科技有限公司,在营,上海洋山保税港区,100.00万元,张忠义,2024-08-29,,交通运输、仓储和邮政业,多式联运和运输代理业,运输代理业,货物运输代理,上海市,,浦东新区
90,文西中同(上海)供应链有限公司,在营,复旦软件园,100.00万元,龚福棕,2024-08-29,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,宝山区
91,上海轶偲建筑装饰工程有限公司,在营,聚惠领域总部园,100.00万元,高陈忠,2024-08-29,,建筑业,建筑装饰、装修和其他建筑业,建筑装饰和装修业,住宅装饰和装修,上海市,,奉贤区
92,上海悟瓴企业管理有限公司,在营,陆家嘴1885广场区,100.00万元,石寅平,2024-08-29,,租赁和商务服务业,商务服务业,咨询与调查,社会经济咨询,上海市,,浦东新区
93,上海墨香苑咨询管理有限公司,在营,万祥标准厂房区,100.00万元,徐红莲,2024-08-29,,租赁和商务服务业,商务服务业,咨询与调查,社会经济咨询,上海市,,浦东新区
94,飞牛先达供应链(上海)有限公司,在营,上海枫泾都市型工业园,100.00万元,李方岩,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,金山区
95,上海易绘印信息科技有限公司,在营,中鑫企业广场,100.00万元,谢恺,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,普陀区
96,上海溯锟科技有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),100.00万元,林琪,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,嘉定区
97,上海米那迪电器科技有限公司,在营,临港新片区环湖产业园,100.00万元,陈令飞,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,其他信息技术服务业,其他未列明信息技术服务业,上海市,,浦东新区
98,特姆迪(上海)科技有限公司,在营,上海练塘工业园区,100.00万元,杨秀枝,2024-08-29,,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展,上海市,,青浦区
99,上海启楚希网络科技有限公司,在营,上海西郊商务区A区,100.00万元,李兴聚,2024-08-29,,信息传输、软件和信息技术服务业,互联网和相关服务,其他互联网服务,其他互联网服务,上海市,,嘉定区
100,上海暄安新能源科技有限公司,在营,上海市星火开发区,100.00万元,王翔,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新能源技术推广服务,上海市,,奉贤区
101,上海栖漫丽颈健康管理有限公司,在营,上海北郊未来产业园,100.00万元,何友,2024-08-29,,卫生和社会工作,社会工作,提供住宿社会工作,护理机构服务,上海市,,宝山区
102,上海芝诺依贸易有限公司,在营,临港新片区环湖产业园,100.00万元,朱展宸,2024-08-29,,批发和零售业,批发业,文化、体育用品及器材批发,首饰、工艺品及收藏品批发,上海市,,浦东新区
103,上海溢铜建筑劳务有限公司,在营,临港长兴科技园,88.68万元,张毓云,2024-08-29,,建筑业,土木工程建筑业,铁路、道路、隧道和桥梁工程建筑,其他道路、隧道和桥梁工程建筑,上海市,,崇明区
104,上海龙象优鲜蔬果贸易有限公司,在营,上海湾区科创中心,50.00万元,臧大飞,2024-08-29,,批发和零售业,批发业,食品、饮料及烟草制品批发,果品、蔬菜批发,上海市,,金山区
105,上海万珑珠科技有限公司,在营,上海金山医疗器械服务产业园,50.00万元,钱光辉,2024-08-29,,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输服务,卫星传输服务,其他卫星传输服务,上海市,,金山区
106,上海玺喔企业管理咨询有限公司,在营,富盛经济开发区创业园,50.00万元,严振玺,2024-08-29,,租赁和商务服务业,商务服务业,组织管理服务,企业总部管理,上海市,,崇明区
107,上海霄春添餐饮管理有限公司,在营,众璞园区,50.00万元,杜春杰,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,金山区
108,上海谪茴信息科技有限公司,在营,富盛经济开发区创业园,50.00万元,林云辉,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,崇明区
109,上海环港华物业管理有限公司,在营,紫竹科学园区,50.00万元,唐福上,2024-08-29,,房地产业,房地产业,物业管理,物业管理,上海市,,闵行区
110,上海碧光盾科技有限公司,在营,上海金山医疗器械服务产业园,50.00万元,钱光辉,2024-08-29,,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输服务,卫星传输服务,其他卫星传输服务,上海市,,金山区
111,上海翎佑文化传媒有限公司,在营,中鑫企业广场,50.00万元,马爱群,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,普陀区
112,上海密斯里鲁电子科技有限公司,在营,上海奉城(市级)工业园区,50.00万元,林松鹤,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,奉贤区
113,上海思普得教育科技有限公司,在营,上海北郊未来产业园,50.00万元,李彦玲,2024-08-29,,教育,教育,技能培训、教育辅助及其他教育,教育辅助服务,上海市,,宝山区
114,上海云始技术服务有限公司,在营,丰华园,50.00万元,赵彦波,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息处理和存储支持服务,信息处理和存储支持服务,上海市,,浦东新区
115,上海暄焱企业管理服务有限公司,在营,上海湾区科创中心,50.00万元,朱金萍,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,市场管理服务,上海市,,金山区
116,上海岩淳医疗器械有限公司,在营,张江云立方,50.00万元,梁艳,2024-08-29,,批发和零售业,批发业,医药及医疗器材批发,医疗用品及器材批发,上海市,,青浦区
117,上海雨南梦汽车服务有限公司,在营,松江青年创业园,50.00万元,秦圣凯,2024-08-29,,批发和零售业,批发业,机械设备、五金产品及电子产品批发,汽车及零配件批发,上海市,,松江区
118,上海讯丞网络工程有限公司,在营,上海奉城(市级)工业园区,50.00万元,施健,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成和物联网技术服务,信息系统集成服务,上海市,,奉贤区
119,上海诺珀建筑服务有限公司,在营,上海奉贤经济开发区生物科技园区,50.00万元,邓正伟,2024-08-29,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,工程设计活动,上海市,,奉贤区
120,上海天凯易贸易有限公司,在营,松江工业园区石湖荡分区,50.00万元,刘盛军,2024-08-29,,制造业,造纸和纸制品业,纸制品制造,其他纸制品制造,上海市,,松江区
121,耶而(上海)广告传媒有限公司,在营,中广国际创意园,50.00万元,DissaraUdomdej,2024-08-29,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,嘉定区
122,上海燮鑫信息科技有限公司,在营,"中采服务贸易产业园,朱家角工业园",50.00万元,陈剑,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,运行维护服务,运行维护服务,上海市,,青浦区
123,上海歆北企业管理服务有限公司,在营,上海湾区科创中心,50.00万元,葛瑞晶,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,市场管理服务,上海市,,金山区
124,上海俸萍企业服务有限公司,在营,富盛经济开发区创业园,50.00万元,凌家宝,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,崇明区
125,上海滢和新材料有限公司,在营,明谷科技园,50.00万元,黄广荣,2024-08-29,,制造业,化学原料和化学制品制造业,涂料、油墨、颜料及类似产品制造,油墨及类似产品制造,上海市,,闵行区
126,上海阿涛贸易有限公司,在营,上海金山医疗器械服务产业园,50.00万元,施峰涛,2024-08-29,,批发和零售业,批发业,食品、饮料及烟草制品批发,果品、蔬菜批发,上海市,,宝山区
127,上海俸辉信息科技有限公司,在营,富盛经济开发区创业园,50.00万元,凌家宝,2024-08-29,,租赁和商务服务业,商务服务业,咨询与调查,其他专业咨询与调查,上海市,,崇明区
128,上海艺源堂艺术品有限公司,在营,复旦软件园,50.00万元,范民广,2024-08-29,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,宝山区
129,上海水沐碧晨广告制作有限公司,在营,上海奉贤经济开发区生物科技园区,50.00万元,李亚辉,2024-08-29,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,专业设计服务,上海市,,奉贤区
130,上海朗琦贸易有限公司,在营,东华大学国家大学科技园(福泉路),50.00万元,黄珍琦,2024-08-29,,批发和零售业,批发业,纺织、服装及家庭用品批发,纺织品、针织品及原料批发,上海市,,长宁区
131,上海杰氏达工程管理有限公司,在营,财智领地,50.00万元,宋艳丽,2024-08-29,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,工程管理服务,上海市,,青浦区
132,上海沐婷尔贸易有限公司,在营,上海北郊未来产业园,50.00万元,邓闻,2024-08-29,,制造业,化学原料和化学制品制造业,日用化学产品制造,化妆品制造,上海市,,宝山区
133,上海萍忻商业有限公司,在营,松江工业园区石湖荡分区,50.00万元,骆伟萍,2024-08-29,,制造业,木材加工和木、竹、藤、棕、草制品业,人造板制造,胶合板制造,上海市,,松江区
134,上海茵魅琪科技有限公司,在营,上海洋山保税港区,50.00万元,ALLASTRATU,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,浦东新区
135,上海兴胜航医疗科技有限公司,在营,上海朱家角医疗器械产业园,50.00万元,高航,2024-08-29,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,青浦区
136,上海泽茴信息科技有限公司,在营,富盛经济开发区创业园,50.00万元,林云辉,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,崇明区
137,上海二英里食品科技有限公司,在营,佘山都市型工业园,50.00万元,赵倩雨,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,松江区
